peil_datum_tijd,value,interpolated,origin
2025-07-20,-0.010000000000000002,True,interpolated
2025-07-21,0.03,False,diver
2025-07-22,0.07894736842105263,False,diver
2025-07-23,0.07235294117647059,False,diver
2025-07-24,0.07882352941176471,False,diver
2025-07-25,0.029090909090909098,False,diver
2025-07-26,0.060476190476190475,False,diver
2025-07-27,0.054090909090909085,False,diver
2025-07-28,0.06761904761904762,False,diver
2025-07-29,0.023636363636363636,False,diver
2025-07-30,0.0195,False,diver
2025-07-31,0.0365,False,diver
2025-08-01,0.08411764705882352,False,diver
2025-08-02,0.12666666666666668,False,diver
2025-08-03,0.061578947368421046,False,diver
2025-08-04,0.03125,False,diver
2025-08-05,0.1395,False,diver
2025-08-06,0.05928571428571429,False,diver
2025-08-07,-0.015333333333333334,False,diver
2025-08-08,0.11333333333333333,False,diver
2025-08-09,0.06,False,diver
2025-08-10,0.08545454545454545,False,diver
2025-08-11,-0.05071428571428571,False,diver
2025-08-12,0.031176470588235295,False,diver
2025-08-13,0.04133333333333333,False,diver
2025-08-14,0.03777777777777778,False,diver
2025-08-15,0.05928571428571429,False,diver
2025-08-16,-0.03625,False,diver
2025-08-17,-0.05411764705882353,False,diver
2025-08-18,-0.07277777777777777,False,diver
2025-08-19,-0.012352941176470587,False,diver
2025-08-20,-0.006842105263157895,False,diver
2025-08-21,0.064,False,diver
2025-08-22,-0.004375,False,diver
2025-08-23,0.045454545454545456,False,diver
2025-08-24,-0.012272727272727274,False,diver
2025-08-25,-0.03863636363636364,False,diver
2025-08-26,-0.065,False,diver
2025-08-27,0.05000000000000001,False,diver
2025-08-28,-0.01142857142857143,False,diver
2025-08-29,-0.030000000000000002,False,diver
2025-08-30,0.09133333333333332,False,diver
2025-08-31,0.027826086956521733,False,diver
2025-09-01,0.085,False,diver
2025-09-02,0.08625,False,diver
2025-09-03,0.11476190476190477,False,diver
2025-09-04,0.15999999999999998,False,diver
2025-09-05,-0.1275,False,diver
2025-09-06,-0.008333333333333331,False,diver
2025-09-07,-0.0725,False,diver
2025-09-08,-0.01608695652173913,False,diver
2025-09-09,0.055,False,diver
2025-09-10,0.02041666666666667,False,diver
2025-09-11,0.0919047619047619,False,diver
2025-09-12,0.12869565217391304,False,diver
2025-09-13,0.06318181818181819,False,diver
2025-09-14,0.06521739130434782,False,diver
2025-09-15,0.08,False,diver
2025-09-16,0.27166666666666667,False,diver
2025-09-17,0.08458333333333333,False,diver
2025-09-18,0.0745,False,diver
2025-09-19,0.024782608695652172,False,diver
2025-09-20,0.07916666666666668,False,diver
2025-09-21,0.21285714285714286,False,diver
2025-09-22,0.07227272727272728,False,diver
2025-09-23,0.015416666666666667,False,diver
2025-09-24,-0.04772727272727273,False,diver
2025-09-25,-0.05857142857142857,False,diver
2025-09-26,-0.07166666666666667,False,diver
2025-09-27,-0.05130434782608696,False,diver
2025-09-28,-0.03875,False,diver
2025-09-29,-0.013000000000000001,False,diver
2025-09-30,-0.03208333333333333,False,diver
2025-10-01,-0.11458333333333333,False,diver
2025-10-02,-0.10391304347826087,False,diver
2025-10-03,-0.15409090909090908,False,diver
2025-10-04,0.11761904761904762,False,diver
2025-10-05,0.5380952380952382,False,diver
2025-10-06,0.19409090909090912,False,diver
2025-10-07,0.1180952380952381,False,diver
2025-10-08,0.10916666666666668,False,diver
2025-10-09,0.08782608695652173,False,diver
2025-10-10,0.07478260869565218,False,diver
2025-10-11,0.016521739130434785,False,diver
2025-10-12,-0.015833333333333335,False,diver
2025-10-13,-0.09999999999999999,False,diver
2025-10-14,-0.10833333333333332,True,interpolated
2025-10-15,-0.11666666666666667,True,interpolated
2025-10-16,-0.125,False,diver
2025-10-17,-0.024583333333333332,False,diver
2025-10-18,-0.0608695652173913,False,diver
2025-10-19,-0.056818181818181816,False,diver
2025-10-20,0.02333333333333333,False,diver
2025-10-21,0.18388888888888888,False,diver
2025-10-22,0.209375,False,diver
2025-10-23,0.2984210526315789,False,diver
2025-10-24,0.48157894736842105,False,diver
2025-10-25,0.42375,False,diver
2025-10-26,0.5661111111111111,False,diver
2025-10-27,0.48176470588235293,False,diver
2025-10-28,0.3684210526315789,False,diver
2025-10-29,0.2265,False,diver
2025-10-30,0.30333333333333334,False,diver
2025-10-31,-0.02,False,diver
2025-11-01,0.17384615384615387,False,diver
2025-11-02,0.23941176470588238,False,diver
2025-11-03,0.23142857142857146,False,diver
2025-11-04,0.1275,False,diver
2025-11-05,0.1705263157894737,False,diver
2025-11-06,0.14,False,diver
2025-11-07,0.145,False,diver
2025-11-08,0.14210526315789473,False,diver
2025-11-09,0.15437499999999998,False,diver
2025-11-10,0.04421052631578948,False,diver
2025-11-11,0.1135,False,diver
2025-11-12,0.036470588235294116,False,diver
2025-11-13,0.17,False,diver
2025-11-14,0.09833333333333333,False,diver
2025-11-15,0.034,False,diver
2025-11-16,0.0605,False,diver
2025-11-17,0.2595,False,diver
2025-11-18,0.14315789473684212,False,diver
2025-11-19,0.2605263157894737,False,diver
2025-11-20,0.21521739130434783,False,diver
2025-11-21,0.06666666666666667,False,diver
2025-11-22,0.03125,False,diver
2025-11-23,0.06818181818181818,False,diver
2025-11-24,0.24416666666666667,False,diver
2025-11-25,0.20304347826086958,False,diver
2025-11-26,0.05875,False,diver
2025-11-27,0.020000000000000004,False,diver
2025-11-28,0.11956521739130435,False,diver
2025-11-29,0.18608695652173915,False,diver
2025-11-30,0.22826086956521738,False,diver
2025-12-01,0.04454545454545455,False,diver
2025-12-02,0.06727272727272728,False,diver
2025-12-03,0.11095238095238096,False,diver
2025-12-04,0.03411764705882353,False,diver
2025-12-05,0.06411764705882352,False,diver
2025-12-06,-0.0295,False,diver
2025-12-07,0.11857142857142858,False,diver
2025-12-08,0.12772727272727272,False,diver
2025-12-09,0.121,False,diver
2025-12-10,0.019545454545454543,False,diver
2025-12-11,0.2026315789473684,False,diver
2025-12-12,0.10105263157894737,False,diver
2025-12-13,0.059565217391304354,False,diver
2025-12-14,0.015,False,diver
2025-12-15,0.022857142857142857,False,diver
2025-12-16,0.13588235294117648,False,diver
2025-12-17,0.15571428571428572,False,diver
