date,y
GMW000000035790001,441729.0151461983
GMW000000035791001,441753.1155562134
GMW000000035792001,440257.60715164663
GMW000000035793001,441452.2163495375
GMW000000035794001,441234.11539884075
GMW000000035795001,436285.29107318626
GMW000000035796001,436063.2910761483
GMW000000035797001,436104.29170899576
GMW000000035798001,436190.2898662242
GMW000000035799001,432500.1915999346
GMW000000035800001,432386.4947115808
GMW000000035801001,432920.7869426927
GMW000000035802001,433415.5131834112
GMW000000035803001,432407.1348218559
GMW000000035804001,432160.93919168547
GMW000000035805001,441633.1263623455
GMW000000035806001,442524.0229897692
GMW000000035807001,433434.1446643106
GMW000000035808001,434049.4425752902
GMW000000035809001,433686.14486298023
GMW000000035810001,433285.84601982794
GMW000000035811001,434057.94474239665
GMW000000035812001,433731.7752818085
GMW000000035813001,442032.21841807204
GMW000000035814001,442679.42131331994
GMW000000035815001,433734.9402336088
GMW000000035816001,434460.17495713255
GMW000000035817001,435164.1433328039
GMW000000035818001,434334.07377010555
GMW000000035819001,434442.17420801905
GMW000000035820001,433857.04672339227
GMW000000035821001,434443.8740457437
GMW000000035822001,436731.7448557451
GMW000000035823001,442198.8156053013
GMW000000035824001,437537.1392539247
GMW000000035825001,436037.44489121006
GMW000000035826001,439772.40291205293
GMW000000035827001,435746.34720813663
GMW000000035828001,439922.7008542797
GMW000000035829001,437486.2414560538
GMW000000035830001,437370.33864437044
GMW000000035831001,436978.1405815244
GMW000000035832001,437711.04042562394
GMW000000035833001,437953.4413296334
GMW000000035834001,438471.3378686379
GMW000000035835001,438454.7366247494
GMW000000035836001,437672.4384068247
GMW000000035837001,437465.4348336672
GMW000000035838001,434954.933513177
GMW000000035839001,435308.8338760233
GMW000000035840001,432790.5893072379
GMW000000035841001,432523.887119905
GMW000000035842001,433590.5914511234
GMW000000035843001,441516.3273425064
GMW000000035844001,436792.0533736496
GMW000000035845001,433920.01712911314
GMW000000035846001,436617.6552928812
GMW000000035847001,434158.6177469938
GMW000000035848001,431726.7745915441
GMW000000035849001,434316.8181441371
GMW000000035850001,433961.31709426834
GMW000000035851001,433525.66762246424
GMW000000035852001,434120.79782517336
GMW000000035853001,431236.7748717616
GMW000000035854001,433931.7158889024
GMW000000035855001,435650.3919229668
GMW000000035856001,433669.4143358573
GMW000000035857001,431856.77501567255
GMW000000035858001,434420.5088519466
GMW000000035859001,430967.4755486311
GMW000000035860001,433137.21610057977
GMW000000035861001,433339.8170120624
GMW000000035862001,442105.8252627422
GMW000000035863001,442193.32546766516
GMW000000035864001,442078.7248932237
GMW000000035865001,437703.74511410657
GMW000000035866001,437909.52386278735
GMW000000035867001,441428.8246986559
GMW000000035868001,439931.03320462414
GMW000000035869001,439320.0337726268
GMW000000035870001,439401.73319491115
GMW000000035871001,439888.93206501676
GMW000000035872001,440138.831447033
GMW000000035873001,439828.9323673898
GMW000000035874001,439999.43234068085
GMW000000035875001,441185.42832058197
GMW000000035876001,441248.3274837331
GMW000000035877001,440209.0304978274
GMW000000035878001,441418.1273086694
GMW000000035879001,431752.4259423209
GMW000000035880001,431681.22565044987
GMW000000035881001,441835.92645464017
GMW000000035882001,439611.3342618317
GMW000000035883001,431774.0290311548
GMW000000035884001,439441.63425309735
GMW000000035885001,439327.5342653775
GMW000000035886001,440064.03271249693
GMW000000035887001,439364.0354018596
GMW000000035888001,439376.4336201058
GMW000000035889001,434485.1367492399
GMW000000035890001,434319.94144742267
GMW000000035891001,434364.2369544865
GMW000000035892001,434472.43701893074
GMW000000035893001,434193.5357280299
GMW000000035894001,434057.7381162347
GMW000000035895001,434295.6317292353
GMW000000035896001,434052.4318347445
GMW000000035897001,434154.3400077913
GMW000000035898001,434101.94017111644
GMW000000035899001,433952.83953757584
GMW000000035900001,433869.23730858054
GMW000000035901001,433775.53981402057
GMW000000035902001,434345.9398054372
GMW000000035903001,432101.43022113066
GMW000000035904001,433043.2272220298
GMW000000035905001,432088.4275557575
GMW000000035906001,433664.3292045562
GMW000000035907001,433566.93199609366
GMW000000035908001,433564.23013624985
GMW000000035909001,433833.9310358473
GMW000000035910001,433803.93061578536
GMW000000035911001,435122.839891489
GMW000000035912001,434514.4370112556
GMW000000035913001,434221.0374629165
GMW000000035914001,434799.3323489459
GMW000000035915001,435032.63314537884
GMW000000035916001,436171.04012140597
GMW000000035917001,434544.8152940715
GMW000000035918001,435206.23507283325
GMW000000035919001,436268.2369520196
GMW000000035920001,436270.93441269547
GMW000000035921001,436132.93908429024
GMW000000035922001,433862.83532905043
GMW000000035923001,436192.2346419025
GMW000000035924001,433900.533976829
GMW000000035925001,434471.33865638846
GMW000000035926001,433830.3344861666
GMW000000035927001,433998.5346764934
GMW000000035928001,433787.332962763
GMW000000035929001,438357.4302931372
GMW000000035930001,437914.6299106183
GMW000000035931001,439176.13294841256
GMW000000035932001,438298.3281404508
GMW000000035933001,438480.926945944
GMW000000035934001,438685.92806368077
GMW000000035935001,438282.4264771458
GMW000000035936001,438280.92654449405
GMW000000035937001,438621.62660357996
GMW000000035938001,441366.72530758573
GMW000000035939001,437979.6288588819
GMW000000035940001,438204.72922686284
GMW000000035941001,437949.82529275306
GMW000000035942001,438073.3255634689
GMW000000035943001,438321.9281725451
GMW000000035944001,437484.22471707774
GMW000000035945001,437523.3302397998
GMW000000035946001,437393.3270199326
GMW000000035947001,437414.32597722096
GMW000000035948001,437588.6240047391
GMW000000035949001,437557.62459869485
GMW000000035950001,437628.72439375095
GMW000000035951001,437674.3226453154
GMW000000035952001,437652.12208212883
GMW000000035953001,437574.0238680166
GMW000000035954001,437610.42384466104
GMW000000035955001,434871.7259666797
GMW000000035956001,435183.6281739287
GMW000000035957001,435360.7242671738
GMW000000035958001,435668.32545325195
GMW000000035959001,434913.52933663374
GMW000000035960001,435612.32502878027
GMW000000035961001,437152.8227846749
GMW000000035962001,437520.62701409275
GMW000000035963001,437452.02874995815
GMW000000035964001,437614.2242186882
GMW000000035965001,437239.8237335509
GMW000000035966001,438272.0260626151
GMW000000035967001,438156.6241795063
GMW000000035968001,438232.3271572551
GMW000000035969001,438173.5279152135
GMW000000035970001,438077.424568331
GMW000000035971001,438077.4257655443
GMW000000035972001,438180.8261105231
GMW000000035973001,437905.22926552786
GMW000000035974001,438106.4297830983
GMW000000035975001,437396.1217190971
GMW000000035976001,437376.12513102905
GMW000000035977001,437594.82245699235
GMW000000035978001,437524.82178922865
GMW000000035979001,437315.75682595925
GMW000000035980001,436984.5236558777
GMW000000035981001,438348.1278974809
GMW000000035982001,438282.72645635874
GMW000000035983001,436407.3323169587
GMW000000035984001,437661.3306116157
