date,x
GMW000000035707001,90327.59147553446
GMW000000035708001,96150.87873943194
GMW000000035709001,90656.02169575414
GMW000000035710001,96261.3794791044
GMW000000035711001,90775.14044429673
GMW000000035712001,96884.63295802815
GMW000000035713001,91372.06034519314
GMW000000035714001,90063.58906052579
GMW000000035715001,96804.052545246
GMW000000035716001,90933.141454873
GMW000000035717001,96962.56359258768
GMW000000035718001,91614.25338956514
GMW000000035719001,96424.18862052567
GMW000000035720001,91534.85187148608
GMW000000035721001,96822.81121866922
GMW000000035722001,96022.99465938922
GMW000000035723001,91860.03955582522
GMW000000035724001,96766.85433912331
GMW000000035725001,91580.88425627709
GMW000000035726001,96462.7948710684
GMW000000035727001,91599.33459630859
GMW000000035728001,97012.20701776436
GMW000000035729001,91578.36276891206
GMW000000035730001,96942.83062514987
GMW000000035731001,91108.21481219615
GMW000000035732001,96982.17720866908
GMW000000035733001,91216.06211630811
GMW000000035734001,91383.4229837831
GMW000000035735001,97816.76177745388
GMW000000035736001,91464.33289481005
GMW000000035737001,97954.56258901294
GMW000000035738001,95262.22891149882
GMW000000035739001,88603.83738356538
GMW000000035740001,95202.25580515977
GMW000000035741001,88779.96794571355
GMW000000035742001,95242.08666655343
GMW000000035743001,88929.5677768232
GMW000000035744001,95243.99928511702
GMW000000035745001,88571.11679672026
GMW000000035746001,95026.82470022232
GMW000000035747001,89990.35979537325
GMW000000035748001,96025.82270021913
GMW000000035749001,89843.98987726308
GMW000000035750001,96079.4622667044
GMW000000035751001,89149.2876928103
GMW000000035752001,95050.46578359342
GMW000000035753001,89738.7886589407
GMW000000035754001,95518.99074453785
GMW000000035755001,89699.29979201117
GMW000000035756001,96936.84686869336
GMW000000035757001,89491.57799336986
GMW000000035758001,96817.4861405903
GMW000000035759001,89213.17782639479
GMW000000035760001,96854.10550577179
GMW000000035761001,89666.5978244227
GMW000000035762001,96348.38004810966
GMW000000035763001,90824.45299811251
GMW000000035764001,96843.60309836132
GMW000000035765001,89672.40820100953
GMW000000035766001,96076.17853545674
GMW000000035767001,89756.68774151518
GMW000000035768001,96205.01914078339
GMW000000035769001,90338.30077220133
GMW000000035770001,96128.84951345462
GMW000000035771001,90151.10000310035
GMW000000035772001,96168.62001166622
GMW000000035773001,90201.30213948284
GMW000000035774001,96500.77155379459
GMW000000035775001,90925.3518317558
GMW000000035776001,96425.02121099243
GMW000000035777001,90217.66129601348
GMW000000035778001,91776.31364120168
GMW000000035779001,91767.41400299117
GMW000000035780001,91025.72190746646
GMW000000035781001,91456.80293119175
GMW000000035782001,91303.31018291769
GMW000000035783001,91423.0810410961
GMW000000035784001,91366.38129996418
GMW000000035785001,91561.97033266819
GMW000000035786001,91973.74178107629
GMW000000035787001,91705.58928240128
GMW000000035788001,97547.63715640196
GMW000000035789001,97611.14692822633
GMW000000035790001,97973.3976900662
GMW000000035791001,97712.74714257338
GMW000000035792001,97877.03018635564
GMW000000035793001,97286.92935662065
GMW000000035794001,97224.13112795999
GMW000000035795001,97577.57046230097
GMW000000035796001,97480.47094128247
GMW000000035797001,97482.38070577306
GMW000000035798001,97672.93120701125
GMW000000035799001,97299.53866108609
GMW000000035800001,97044.1176879786
GMW000000035801001,97783.82162238137
GMW000000035802001,95377.51581500837
GMW000000035803001,92801.0634201597
GMW000000035804001,92234.73191628291
GMW000000035805001,91517.16703194776
GMW000000035806001,91689.9858398732
GMW000000035807001,92297.62720577195
GMW000000035808001,92789.29716202136
GMW000000035809001,92415.59703502494
GMW000000035810001,92075.75692695379
GMW000000035811001,92582.78652372488
GMW000000035812001,98794.98682594518
GMW000000035813001,97395.2452952397
GMW000000035814001,97183.96000488993
GMW000000035815001,92929.6391801689
GMW000000035816001,98837.46567343411
GMW000000035817001,92848.38373946835
GMW000000035818001,98957.53715809123
GMW000000035819001,98901.16609669977
GMW000000035820001,92260.37543796151
GMW000000035821001,98885.31607001198
GMW000000035822001,92396.80721091115
GMW000000035823001,98404.79386393639
GMW000000035824001,92898.94717354112
GMW000000035825001,92610.86976771828
GMW000000035826001,98142.66461690978
GMW000000035827001,92449.86016698385
GMW000000035828001,98620.58474799842
GMW000000035829001,92544.56598870645
GMW000000035830001,92986.11837137447
GMW000000035831001,92903.81885493528
GMW000000035832001,92630.90560117608
