date,unit
GMW000000035848001,m NAP
GMW000000035849001,m NAP
GMW000000035850001,m NAP
GMW000000035851001,m NAP
GMW000000035852001,m NAP
GMW000000035853001,m NAP
GMW000000035854001,m NAP
GMW000000035855001,m NAP
GMW000000035856001,m NAP
GMW000000035857001,m NAP
GMW000000035858001,m NAP
GMW000000035859001,m NAP
GMW000000035860001,m NAP
GMW000000035861001,m NAP
GMW000000035862001,m NAP
GMW000000035863001,m NAP
GMW000000035864001,m NAP
GMW000000035865001,m NAP
GMW000000035866001,m NAP
GMW000000035867001,m NAP
GMW000000035868001,m NAP
GMW000000035869001,m NAP
GMW000000035870001,m NAP
GMW000000035871001,m NAP
GMW000000035872001,m NAP
GMW000000035873001,m NAP
GMW000000035874001,m NAP
GMW000000035875001,m NAP
GMW000000035876001,m NAP
GMW000000035877001,m NAP
GMW000000035878001,m NAP
GMW000000035879001,m NAP
GMW000000035880001,m NAP
GMW000000035881001,m NAP
GMW000000035882001,m NAP
GMW000000035883001,m NAP
GMW000000035884001,m NAP
GMW000000035885001,m NAP
GMW000000035886001,m NAP
GMW000000035887001,m NAP
GMW000000035888001,m NAP
GMW000000035889001,m NAP
GMW000000035890001,m NAP
GMW000000035891001,m NAP
GMW000000035892001,m NAP
GMW000000035893001,m NAP
GMW000000035894001,m NAP
GMW000000035895001,m NAP
GMW000000035896001,m NAP
GMW000000035897001,m NAP
GMW000000035898001,m NAP
GMW000000035899001,m NAP
GMW000000035900001,m NAP
GMW000000035901001,m NAP
GMW000000035902001,m NAP
GMW000000035903001,m NAP
GMW000000035904001,m NAP
GMW000000035905001,m NAP
GMW000000035906001,m NAP
GMW000000035907001,m NAP
GMW000000035908001,m NAP
GMW000000035909001,m NAP
GMW000000035910001,m NAP
GMW000000035911001,m NAP
GMW000000035912001,m NAP
GMW000000035913001,m NAP
GMW000000035914001,m NAP
GMW000000035915001,m NAP
GMW000000035916001,m NAP
GMW000000035917001,m NAP
GMW000000035918001,m NAP
GMW000000035919001,m NAP
GMW000000035920001,m NAP
GMW000000035921001,m NAP
GMW000000035922001,m NAP
