date,tube_nr
GMW000000036103001,1
GMW000000036104001,1
GMW000000036105001,1
GMW000000036106001,1
GMW000000036107001,1
GMW000000036108001,1
GMW000000036109001,1
GMW000000036110001,1
GMW000000036111001,1
GMW000000036112001,1
GMW000000036113001,1
GMW000000036114001,1
GMW000000036115001,1
GMW000000036116001,1
GMW000000036117001,1
GMW000000036118001,1
GMW000000036119001,1
GMW000000036120001,1
GMW000000036121001,1
GMW000000036122001,1
GMW000000036123001,1
GMW000000036124001,1
GMW000000036125001,1
GMW000000036126001,1
GMW000000036127001,1
GMW000000036128001,1
GMW000000036129001,1
GMW000000036130001,1
GMW000000036131001,1
GMW000000036132001,1
GMW000000036133001,1
GMW000000036142001,1
GMW000000036143001,1
GMW000000036144001,1
GMW000000036145001,1
GMW000000036146001,1
GMW000000036147001,1
GMW000000036148001,1
GMW000000036149001,1
GMW000000036150001,1
GMW000000036151001,1
GMW000000036152001,1
GMW000000036153001,1
GMW000000036154001,1
GMW000000036155001,1
GMW000000036156001,1
GMW000000036157001,1
GMW000000036158001,1
GMW000000036159001,1
GMW000000036160001,1
GMW000000036161001,1
GMW000000036162001,1
GMW000000036163001,1
GMW000000036164001,1
GMW000000036165001,1
GMW000000036166001,1
GMW000000036167001,1
GMW000000036168001,1
GMW000000036169001,1
GMW000000036170001,1
GMW000000036171001,1
GMW000000036172001,1
GMW000000036173001,1
GMW000000036174001,1
GMW000000036175001,1
GMW000000036176001,1
GMW000000036177001,1
GMW000000036178001,1
GMW000000036179001,1
GMW000000036180001,1
GMW000000036181001,1
GMW000000036182001,1
GMW000000036183001,1
GMW000000036184001,1
GMW000000036185001,1
GMW000000036186001,1
GMW000000036187001,1
GMW000000036188001,1
GMW000000036189001,1
GMW000000036190001,1
GMW000000036191001,1
GMW000000036192001,1
GMW000000036193001,1
GMW000000036194001,1
GMW000000036195001,1
GMW000000036196001,1
GMW000000036197001,1
GMW000000036198001,1
GMW000000036199001,1
GMW000000036200001,1
GMW000000036201001,1
GMW000000036202001,1
GMW000000036203001,1
GMW000000036204001,1
GMW000000036205001,1
GMW000000036206001,1
GMW000000036207001,1
GMW000000036208001,1
GMW000000036209001,1
GMW000000036210001,1
GMW000000036211001,1
GMW000000036212001,1
GMW000000036213001,1
GMW000000036214001,1
GMW000000036215001,1
GMW000000036216001,1
GMW000000036217001,1
GMW000000036218001,1
GMW000000036219001,1
GMW000000036220001,1
GMW000000036221001,1
GMW000000036222001,1
GMW000000036223001,1
GMW000000036224001,1
GMW000000036225001,1
GMW000000036226001,1
GMW000000036227001,1
GMW000000036228001,1
GMW000000036229001,1
GMW000000036230001,1
GMW000000036231001,1
GMW000000036232001,1
GMW000000036233001,1
GMW000000036234001,1
GMW000000036235001,1
GMW000000036236001,1
GMW000000036237001,1
GMW000000036238001,1
GMW000000036239001,1
GMW000000036240001,1
GMW000000036241001,1
GMW000000036242001,1
GMW000000036243001,1
GMW000000036244001,1
GMW000000036245001,1
GMW000000036246001,1
GMW000000036247001,1
GMW000000036248001,1
GMW000000036249001,1
GMW000000036250001,1
GMW000000036251001,1
GMW000000036252001,1
GMW000000036253001,1
GMW000000036254001,1
GMW000000036255001,1
GMW000000036256001,1
GMW000000036257001,1
GMW000000036258001,1
GMW000000036259001,1
GMW000000036260001,1
GMW000000036261001,1
GMW000000036262001,1
GMW000000036263001,1
GMW000000036264001,1
GMW000000036265001,1
GMW000000036266001,1
GMW000000036267001,1
GMW000000036268001,1
GMW000000036269001,1
GMW000000036270001,1
GMW000000036271001,1
GMW000000036272001,1
GMW000000036273001,1
GMW000000036274001,1
GMW000000036275001,1
GMW000000036276001,1
GMW000000036277001,1
GMW000000036278001,1
GMW000000036441001,1
GMW000000036442001,1
GMW000000036443001,1
GMW000000036444001,1
GMW000000036445001,1
GMW000000036446001,1
GMW000000036447001,1
GMW000000036448001,1
GMW000000036449001,1
GMW000000036450001,1
GMW000000036451001,1
GMW000000036452001,1
GMW000000036453001,1
GMW000000036454001,1
GMW000000036455001,1
GMW000000036456001,1
GMW000000036457001,1
GMW000000036458001,1
GMW000000036459001,1
GMW000000036460001,1
GMW000000036461001,1
GMW000000036462001,1
GMW000000036463001,1
GMW000000036464001,1
GMW000000036465001,1
GMW000000036466001,1
GMW000000036467001,1
GMW000000036468001,1
GMW000000036469001,1
GMW000000036470001,1
GMW000000036471001,1
GMW000000036472001,1
GMW000000036473001,1
GMW000000036474001,1
GMW000000036475001,1
GMW000000036476001,1
GMW000000036477001,1
GMW000000036478001,1
GMW000000036479001,1
GMW000000036480001,1
GMW000000036481001,1
GMW000000036482001,1
GMW000000036483001,1
GMW000000036484001,1
GMW000000036485001,1
GMW000000036486001,1
GMW000000036487001,1
GMW000000036488001,1
GMW000000036489001,1
GMW000000036490001,1
GMW000000036491001,1
GMW000000036492001,1
GMW000000036493001,1
GMW000000036494001,1
GMW000000036495001,1
GMW000000036496001,1
GMW000000036497001,1
GMW000000036498001,1
GMW000000036499001,1
GMW000000036500001,1
GMW000000036501001,1
GMW000000036502001,1
GMW000000036503001,1
GMW000000036504001,1
GMW000000036505001,1
GMW000000036506001,1
GMW000000036507001,1
GMW000000036508001,1
GMW000000036509001,1
GMW000000036510001,1
GMW000000036511001,1
GMW000000036512001,1
GMW000000036513001,1
GMW000000036514001,1
GMW000000036515001,1
GMW000000036516001,1
GMW000000036517001,1
GMW000000036518001,1
GMW000000036519001,1
GMW000000036520001,1
GMW000000036521001,1
GMW000000036522001,1
GMW000000036523001,1
GMW000000036524001,1
GMW000000036525001,1
GMW000000036526001,1
GMW000000036527001,1
GMW000000036528001,1
GMW000000036529001,1
GMW000000036530001,1
GMW000000036531001,1
GMW000000036532001,1
GMW000000036533001,1
GMW000000036534001,1
GMW000000036535001,1
GMW000000036536001,1
GMW000000036537001,1
GMW000000036538001,1
GMW000000036539001,1
GMW000000036540001,1
GMW000000036541001,1
GMW000000036542001,1
GMW000000036543001,1
GMW000000036544001,1
GMW000000036545001,1
GMW000000036546001,1
GMW000000036547001,1
GMW000000036548001,1
GMW000000036549001,1
GMW000000036550001,1
GMW000000036551001,1
GMW000000036552001,1
GMW000000036553001,1
GMW000000036554001,1
GMW000000036555001,1
GMW000000036556001,1
GMW000000036557001,1
GMW000000036558001,1
GMW000000036559001,1
GMW000000036560001,1
GMW000000036561001,1
GMW000000036562001,1
GMW000000036563001,1
GMW000000036564001,1
GMW000000036565001,1
GMW000000036566001,1
GMW000000036567001,1
GMW000000036568001,1
GMW000000036569001,1
GMW000000036570001,1
GMW000000036571001,1
GMW000000036572001,1
GMW000000036573001,1
GMW000000036574001,1
GMW000000036575001,1
GMW000000036576001,1
GMW000000036577001,1
GMW000000036578001,1
GMW000000036579001,1
GMW000000036580001,1
GMW000000036581001,1
GMW000000036582001,1
GMW000000036583001,1
GMW000000036584001,1
GMW000000036585001,1
GMW000000036586001,1
GMW000000036587001,1
GMW000000036588001,1
GMW000000036589001,1
GMW000000036590001,1
GMW000000036591001,1
GMW000000036592001,1
GMW000000036593001,1
GMW000000036594001,1
GMW000000036595001,1
GMW000000036596001,1
GMW000000036597001,1
GMW000000036598001,1
GMW000000036599001,1
GMW000000036600001,1
GMW000000036601001,1
GMW000000036602001,1
GMW000000036603001,1
GMW000000036604001,1
GMW000000036605001,1
GMW000000036606001,1
GMW000000036607001,1
GMW000000036608001,1
GMW000000036609001,1
GMW000000036610001,1
GMW000000036611001,1
GMW000000036612001,1
GMW000000036613001,1
GMW000000036614001,1
GMW000000036615001,1
GMW000000036616001,1
GMW000000036617001,1
GMW000000036618001,1
GMW000000036619001,1
GMW000000036620001,1
GMW000000036621001,1
GMW000000036622001,1
GMW000000036623001,1
GMW000000036624001,1
GMW000000036625001,1
GMW000000036626001,1
GMW000000036627001,1
GMW000000036628001,1
GMW000000036629001,1
GMW000000036630001,1
GMW000000036631001,1
GMW000000036632001,1
GMW000000036633001,1
GMW000000036634001,1
GMW000000036635001,1
GMW000000036636001,1
GMW000000036637001,1
GMW000000036638001,1
GMW000000036639001,1
GMW000000036642001,1
GMW000000036643001,1
GMW000000036644001,1
GMW000000036645001,1
GMW000000036646001,1
GMW000000036647001,1
GMW000000036648001,1
GMW000000036649001,1
GMW000000036650001,1
GMW000000036651001,1
GMW000000036652001,1
GMW000000036653001,1
GMW000000036654001,1
GMW000000036655001,1
GMW000000036656001,1
GMW000000036657001,1
GMW000000036658001,1
GMW000000036659001,1
GMW000000036660001,1
GMW000000036661001,1
GMW000000036662001,1
GMW000000036663001,1
GMW000000036664001,1
GMW000000036665001,1
GMW000000036666001,1
GMW000000036667001,1
GMW000000036668001,1
GMW000000036669001,1
GMW000000036670001,1
GMW000000036671001,1
GMW000000036672001,1
GMW000000036673001,1
GMW000000036674001,1
GMW000000036675001,1
GMW000000036676001,1
GMW000000036677001,1
GMW000000036678001,1
